AdamW Baseline_loss,AdamW Baseline_ppl,Muon (Polar Express)_loss,Muon (Polar Express)_ppl,Muon (Newton-Schulz)_loss,Muon (Newton-Schulz)_ppl,Muon (SVD)_loss,Muon (SVD)_ppl,Muon (QR)_loss,Muon (QR)_ppl,Muon (Sign)_loss,Muon (Sign)_ppl
5.6399736404418945,281.45529934018094,5.591230392456055,268.06524234137356,5.565032958984375,261.1338102731084,5.581727027893066,265.5297873753899,5.849909782409668,347.20305524271225,6.870181083679199,963.1229558703105
5.648072242736816,283.74394879534105,5.5853962898254395,266.5058753822722,5.553175926208496,258.0558220901084,5.575023174285889,263.7556679153679,5.920324325561523,372.53251610296917,7.040304183959961,1141.7348512414458
5.631766319274902,279.1547588553617,5.579547882080078,264.9517892508308,5.567586421966553,261.80145783493816,5.581174850463867,265.383208292576,5.8793416023254395,357.57373847207424,6.940274238586426,1033.0534792434753
5.622289657592773,276.52179918757713,5.559886455535889,259.7933365530361,5.569990158081055,262.43151639785583,5.561149597167969,260.1216996730776,5.836400508880615,342.5441343719017,6.765439987182617,867.3477457387685
5.627934455871582,278.08712277521005,5.577085494995117,264.30017797568206,5.567876815795898,261.8774944025478,5.568047046661377,261.92207782969933,5.884139537811279,359.29347649768755,6.828973770141602,924.2418410572644
5.604835510253906,271.73722377098494,5.560222625732422,259.88068601136285,5.56460428237915,261.0218923078317,5.567829608917236,261.86513227523625,5.903909206390381,366.4672675376074,6.783275604248047,882.9562075037118
5.643274307250977,282.3858243366462,5.5739545822143555,263.47397123603616,5.555830001831055,258.7416314491511,5.566644668579102,261.55502148453,5.921275615692139,372.8870712245271,6.811020374298096,907.796626871775
5.623867988586426,276.95858672063144,5.578420162200928,264.65316626426323,5.573057651519775,263.2377592927186,5.5757832527160645,263.956219117053,5.890576362609863,361.61364490504747,6.755833625793457,859.0555823702804
5.624842643737793,277.2286574254164,5.585750579833984,266.6003124792108,5.570809364318848,262.64659001587916,5.559003829956055,259.5641374720892,5.925041198730469,374.29385547429297,6.870686054229736,963.6094274161361
5.6262030601501465,277.60606049541184,5.574143886566162,263.52385272662156,5.557259559631348,259.11178207947245,5.5694899559021,262.3002804065278,5.9585113525390625,387.03353868329356,6.516024112701416,675.8857904300005
5.595227241516113,269.13880265336286,5.564334392547607,260.9514546589179,5.554784774780273,258.47132898512956,5.5682692527771,261.9802849839892,5.942933082580566,381.0509459457732,6.72560977935791,833.4800605572507
5.611595153808594,273.58029277105373,5.556639671325684,258.95121148895896,5.563440322875977,260.71825014361616,5.586355209350586,266.7615556385454,5.944324016571045,381.58133143868696,6.550594329833984,699.6598790103869
5.607104301452637,272.3544386937813,5.557732582092285,259.2343767650236,5.572157859802246,263.0010066671652,5.554065704345703,258.28553670114695,5.943105697631836,381.11672675155916,6.650521278381348,773.1872663105288
5.600313186645508,270.5111146294412,5.580613613128662,265.2343071163039,5.56070613861084,260.0063720528627,5.563499450683594,260.73366629791013,5.929521560668945,375.9745897555795,6.6699676513671875,788.3701013552102
5.597162246704102,269.66009181875296,5.565011501312256,261.128207009545,5.569064140319824,262.18861263652104,5.559876441955566,259.7907351046183,5.940057754516602,379.95687313000207,6.766520023345947,868.2850187235995
5.579164981842041,264.8503585678139,5.567197799682617,261.69973572147694,5.571279525756836,262.7701053481216,5.572859764099121,263.18567300529384,5.957428455352783,386.6146480019627,6.749591827392578,853.7102302696586
5.5798869132995605,265.041631407832,5.5641021728515625,260.89086362692234,5.573074817657471,263.24227810712637,5.569892883300781,262.40598967133485,5.954909801483154,385.6421247615383,6.684908866882324,800.2377466917009
5.579715728759766,264.99626426132085,5.568087577819824,261.9326940500791,5.55605411529541,258.7996254309215,5.570533275604248,262.5740862656419,5.9988017082214355,402.94565761294433,6.677864074707031,794.6200490649941
5.594496726989746,268.94226464409115,5.578793048858643,264.75187030045055,5.566408634185791,261.49329278905077,5.565497398376465,261.2551192693634,5.985503196716309,397.6225532805413,6.733892440795898,840.4121622097791
5.5659613609313965,261.3763599853899,5.568042755126953,261.9209537844979,5.557341575622559,259.13303426061157,5.57418966293335,263.5359161673748,5.959768295288086,387.52032354963495,6.719710350036621,828.5774792839582
5.564733505249023,261.05562448529287,5.577724456787109,264.4691096557222,5.57030725479126,262.5147457635413,5.5742926597595215,263.56306092821046,5.965258598327637,389.65377885885647,6.654111862182617,775.9684500329168
5.569457530975342,262.2917754770337,5.560131549835205,259.85701822251394,5.560646057128906,259.99075095399166,5.562579154968262,260.49382460154385,6.019979476928711,411.5701489564817,6.491575241088867,659.5615137289382
5.569303512573242,262.2513808277304,5.5712995529174805,262.7753679399312,5.559643745422363,259.730289734188,5.573974609375,263.4792479244221,6.0481061935424805,423.31060211117426,6.526924133300781,683.2932568968216
5.564967155456543,261.1166273125121,5.5712504386901855,262.7624622477118,5.563180923461914,260.6506287531472,5.5673322677612305,261.73492834820246,6.069160461425781,432.31758189139714,6.604152202606201,738.1537989918348
5.56058406829834,259.9746349308938,5.548335552215576,256.80975355188167,5.562159538269043,260.38453997312877,5.559302806854248,259.64175275480295,6.054834365844727,426.16831158009757,6.589381694793701,727.3310182850544
5.568324089050293,261.9946514003646,5.575031280517578,263.7578059885873,5.568951606750488,262.1591092761922,5.5647358894348145,261.0562468911454,6.010947227478027,407.8694825345815,6.503468036651611,667.4523731559797
5.557866096496582,259.268990599082,5.553003311157227,258.01128161543664,5.56007719039917,259.8428929254787,5.5705084800720215,262.567575682141,6.078984260559082,436.585512299496,6.528954029083252,684.6816796972336
5.5662689208984375,261.4567612535242,5.562301158905029,260.42141840859284,5.559770107269287,259.76311180698605,5.567698955535889,261.8309209452091,6.084168910980225,438.85493355402104,6.5938849449157715,730.6137577327155
5.562771797180176,260.54401154201145,5.575187683105469,263.79906161817973,5.5666046142578125,261.5445452854746,5.569199562072754,262.2241210822962,6.122982978820801,456.22357199331316,6.637600898742676,763.2616527241598
5.5533952713012695,258.11243157662506,5.568368434906006,262.0062700349904,5.561051845550537,260.0962735989457,5.566880226135254,261.6166400032592,6.1220479011535645,455.7971669118795,6.534461498260498,688.4629459903271
5.553769111633301,258.20894245245194,5.572216510772705,263.0164323838001,5.55103063583374,257.502810815803,5.559146881103516,259.60127107573334,6.126741409301758,457.94148287449536,6.5040717124938965,667.8554196720123
5.57389497756958,263.45826743158756,5.562833786010742,260.56016286119353,5.564240455627441,260.92694283425504,5.563004493713379,260.6046462847177,6.132906436920166,460.77342529605534,6.5179266929626465,677.1729414595194
5.5629119873046875,260.58053979982094,5.571964263916016,262.9500956824376,5.563356876373291,260.6964950251623,5.54722785949707,256.52544475029583,6.129221439361572,459.0786009783747,6.345459938049316,569.8994478859132
5.560876369476318,260.0506369301244,5.56546688079834,261.2471465175057,5.558442115783691,259.418377558971,5.564633846282959,261.02960924801874,6.130736827850342,459.7748107866709,6.485965728759766,655.8720529981724
5.56679105758667,261.5933130672147,5.564870357513428,261.0913529833463,5.5670552253723145,261.6624267218657,5.562915325164795,260.58140958266114,6.125691890716553,457.46111689788546,6.465374946594238,642.5052234337076
5.55778694152832,259.2484689825645,5.565587043762207,261.2785406351004,5.551575183868408,257.6430716512694,5.5695719718933105,262.3217941062419,6.1785101890563965,482.2729253936276,6.49870491027832,664.2807725180783
